jobid,date,description,employer,location,salary,tags,title,url,weeknum
112401,2016-07-25,"Closetbox, a fast-growing full-service storage service and technology company, is seeking a full-time…",Closetbox Storage,"Denver, CO","$80,000 - 105,000

                                / 
Provides Equity","[javascript, angularjs, reactjs, backbone.js, frontend]",Front-End Developer,/jobs/112401/front-end-developer-closetbox-storage,30
114725,2016-07-25,"The ideal candidate is one that has a strong B2C web analytics background, is an articulate, technically…",Bethlehem Shared Services,"Bethlehem, PA",,"[coremetrics, webtrends, tealeaf]",Web Analytics Specialist,/jobs/114725/web-analytics-specialist-bethlehem-shared-services,30
121573,2016-07-25,"We seek a Data Scientist at our Boston-based public health informatics company for a 5-6 month contract,…",Epidemico,"Boston, MA",,"[scala, python, nlp, machine-learning, apache-spark]",Natural language processing for global health,/jobs/121573/natural-language-processing-for-global-health-epidemico,30
114723,2016-07-25,"Rubicon Project is looking for talented, passionate, experienced, and entrepreneurial engineers in Big…",Rubicon Project,"Los Angeles, CA","$120,000 - 170,000","[hadoop, hbase, nosql, java]",Sr. Software Development Engineer - Big Data,/jobs/114723/sr-software-development-engineer-big-data-rubicon-project,30
117072,2016-07-25,"Senior Developer for Android (m/f).
High quality coding with cutting-edge technologies. If you live and…",radio.de GmbH,"Hamburg, Deutschland","€50,000 - 75,000","[android, reactive-cocoa, java, amazon-fire-tv, rx-android]",Senior Developer for Android (m/f),/jobs/117072/senior-developer-for-android-m-f-radiode-gmbh,30
121572,2016-07-25,We are now accepting applications for the 2017 President Harry S. Truman Fellowship in National Security…,Sandia National Laboratories,"Albuquerque, NM",,[],Harry S. Truman Fellowship,/jobs/121572/harry-s-truman-fellowship-sandia-national-laboratories,30
117071,2016-07-25,".Net/C# Software Engineer
Team Daugherty is adding Software Engineers with a .NET/C# focus to our St.…",Daugherty Business Solutions,"Creve Coeur, MO",,"[java, javascript, spring, angularjs, reactjs]",.NET/C# Software Engineer,/jobs/117071/net-c-sharp-software-engineer-daugherty-business-solutions,30
121571,2016-07-25,Zuhlke is a European software engineering consultancy that helps businesses turn ideas into reality. We…,Zuhlke Engineering Ltd,"London, UK",,"[ios, javascript, java, agile]",iOS and Full Stack Application Developer,/jobs/121571/ios-and-full-stack-application-developer-zuhlke-engineering-ltd,30
117070,2016-07-25,TORC Robotics develops innovative autonomous and robotic vehicle systems.  We are looking for passionate…,"TORC Robotics, Inc.","Blacksburg, VA",,"[gpu, c++, qt, boost, lidar]",Senior GPU Software Developer,/jobs/117070/senior-gpu-software-developer-torc-robotics-inc,30
121570,2016-07-25,Namely is seeking an Python or Ruby Engineer that gets excited about building tools. You will design and…,Namely,"New York, NY",,"[python, ruby, numpy, pandas, ruby-on-rails]",Senior Tools Engineer,/jobs/121570/senior-tools-engineer-namely,30
121569,2016-07-25,"You will be joining a fast moving Product Team that ships code to production many times a week, and…",ClickView,"Sydney, Australia",,"[software-engineer, devops, cloud-infrastructure, internal-it]",DevOps Engineer,/jobs/121569/devops-engineer-clickview,30
84668,2016-07-25,"Über ipt 
ipt ist die IT-Consulting Boutique in der Deutschschweiz, wenn es um Software…",ipt Innovation Process Technology,"Zürich, Schweiz",Provides Equity,"[java, java-ee, soa, xml, bpm]",Cloud Consultant (m/w),/jobs/84668/cloud-consultant-m-w-ipt-innovation-process,30
98814,2016-07-25,"Über ipt 
ipt ist die IT-Consulting Boutique in der Deutschschweiz, wenn es um Software…",ipt Innovation Process Technology,"Zug, Schweiz",,"[java-ee, java, xml, web-services, rest]",IT Architect (m/w),/jobs/98814/it-architect-m-w-ipt-innovation-process,30
82881,2016-07-25,Clicktripz is looking for a talented front-end developer. This is a full-time position and the developer…,Clicktripz,"Manhattan Beach, CA",,"[javascript, css, html]",Front-End Developer,/jobs/82881/front-end-developer-clicktripz,30
121551,2016-07-25,We are currently seeking a motivated Senior Full Stack Ruby on Rails Developer to develop and support…,Informz Inc.,"Saratoga Springs, NY",,"[ruby-on-rails, ruby, angularjs, javascript, sql]",Sr Full Stack Ruby on Rails Developer,/jobs/121551/sr-full-stack-ruby-on-rails-developer-informz-inc,30
121563,2016-07-25,"What Your Job Will Be Like
We are seeking a Database Engineer to join our team.
On any given day, you…",Sandia National Laboratories,"Albuquerque, NM",,"[oracle, unix, powerbi, bigdata]",Database Engineer (Experienced),/jobs/121563/database-engineer-experienced-sandia-national-laboratories,30
117063,2016-07-25,You will develop cutting-edge video delivery technology deployed in international telecommunication…,castLabs GmbH,"Berlin, Germany",,"[java, amazon-web-services, drm, video-streaming, mpeg-dash]",Software Engineer Java,/jobs/117063/software-engineer-java-castlabs-gmbh,30
117062,2016-07-25,You will develop cutting-edge video player technology deployed in international telecommunication…,castLabs GmbH,"Berlin, Germany",,"[java, android, video-streaming, drm, c++]",Software Engineer: Android Video Player,/jobs/117062/software-engineer-android-video-player-castlabs-gmbh,30
121561,2016-07-25,"
Du bist Teil eines agilen Entwicklungsteams (nach Scrum) und für die Weiterentwicklung der Java…",CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"[javascript, java, html5, css3, angularjs]",Fullstack Web Entwickler / Programmierer (m/w),/jobs/121561/fullstack-web-entwickler-programmierer-m-w-cts-eventim-solutions-gmbh,30
117060,2016-07-25,Our Quality Assurance team is an integral part of our software development team. Our QA engineers ensure…,Passport,"Charlotte, NC","$65,000 - 70,000","[rest, java, qa, scrum, agile]",Lead Software QA Automation Engineer,/jobs/117060/lead-software-qa-automation-engineer-passport,30
121560,2016-07-25,Als Teil des neu aufgebauten Scrum-Teams verfügen Sie über ein ausgeprägtes agiles Mindset. Sie…,CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"[scrum, java, selenium, cucumber, automated-tests]",Quality Assurance / Qualitätssicherung Professional EVENTIM WEBSHOP (m/w),/jobs/121560/quality-assurance-qualit%C3%A4tssicherung-cts-eventim-solutions-gmbh,30
121559,2016-07-25,"
Sie sind Teil eines agilen Entwicklungsteams (nach Scrum) und für die Weiterentwicklung der Java…",CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"[java, sql, scrum, agile]",Softwareentwickler Java (m/w),/jobs/121559/softwareentwickler-java-m-w-cts-eventim-solutions-gmbh,30
121558,2016-07-25,We are seeking an enthusiastic and talented JavaScript Developer to join our Web Development team at the…,EMBL-EBI,"Hinxton, UK",,"[sass, less, javascript, user-experience, d3.js]",JavaScript Developer,/jobs/121558/javascript-developer-embl-ebi,30
121557,2016-07-25,"
Anpassung und Optimierung der Delivery- und Deployment-Prozesse für unsere Web-Portale von der Idee…",CTS EVENTIM Solutions GmbH,"Bremen, Deutschland",,"[scrum, sql-server, devops, deployment, apache]",DevOps Spezialist (m/w) für Java Webanwendungen,/jobs/121557/devops-spezialist-m-w-f%C3%BCr-java-webanwendungen-cts-eventim-solutions-gmbh,30
121556,2016-07-25,"Ihre Aufgaben

Sie arbeiten an der Analyse, dem Entwurf und der Implementierung unserer Applikationen…",afb Application Services AG,"München, Deutschland",,"[java, jee, jsf, jpa, jboss]",Java Software Developer (w/m),/jobs/121556/java-software-developer-w-m-afb-application-services-ag,30
121555,2016-07-25,POSITION SUMMARY: The Senior Mobile Application Developer serves as a lead technical resource on the…,Republic Services,"Scottsdale, AZ",,"[ios, api, javascript]",Senior Mobile Application Developer,/jobs/121555/senior-mobile-application-developer-republic-services,30
99904,2016-07-25,"Bugatti Veyron, Concorde, Apollo 10, high velocity bullet, light - and you! Your whole life, you’ve…",Skyscanner,"London, UK",,"[objective-c, java, xcode, android, swift]","Senior Mobile Engineers - Objective-C, Java, Xcode, Android, REST API",/jobs/99904/senior-mobile-engineers-objective-c-java-skyscanner,30
112753,2016-07-25,"HERZLICH WILLKOMMEN BEI EWORKS!
Wer sind wir? Wir sind eWorks, 1998 von 2 Frankfurter Informatik…",eWorks GmbH · 20+ Entwickler · seit 1998,"Frankfurt am Main, Deutschland",,"[mysql, php, jquery, javascript, html5]",PHP-Entwickler/in für attraktive Projekte [40h · kein Dresscode · Getränke frei],/jobs/112753/php-entwickler-in-f%C3%BCr-attraktive-projekte-40h-eworks-gmbh-20-plus-entwickler,30
121554,2016-07-25,POSITION SUMMARY: The Senior Application Programmer/Analyst-ETL position within the Business…,Republic Services,"Phoenix, AZ",,"[ssis, sql, etl]",Senior Informatica Developer,/jobs/121554/senior-informatica-developer-republic-services,30
121553,2016-07-25,"POSITION SUMMARY: The Salesforce Developer develops, configures, codes, tests, and debugs complex new…",Republic Services,"Phoenix, AZ",,"[sdlc, javascript, dynamics-crm-2011]",Salesforce Developer,/jobs/121553/salesforce-developer-republic-services,30
117083,2016-07-25,"Sandstorm Design is seeking an Full Stack Engineer to join our team! 
Join a creative, collaborative…",Sandstorm Design,"Chicago, IL",,"[php, drupal, python, javascript, jquery]",Full Stack Engineer,/jobs/117083/full-stack-engineer-sandstorm-design,30
104656,2016-07-25,Crate and Barrel is one of America’s most exciting housewares specialty retailer with 100+ locations and…,Crate and Barrel,"Northbrook, IL",,"[c#, asp.net, mvc, sql-server, jquery]",Senior Web Developer – C#/.Net,/jobs/104656/senior-web-developer-c-sharp-net-crate-and-barrel,30
104660,2016-07-25,Crate and Barrel is one of America’s most exciting housewares specialty retailer with 100+ locations and…,Crate and Barrel,"Northbrook, IL",,"[c#, asp.net-mvc, sql, nosql]",Lead Web Developer - C#/.Net,/jobs/104660/lead-web-developer-c-sharp-net-crate-and-barrel,30
104658,2016-07-25,Crate and Barrel is one of America’s most exciting housewares specialty retailer with 100+ locations and…,Crate and Barrel,"Northbrook, IL",,"[html, css, javascript, jquery, twitter-bootstrap]",Front End Developer,/jobs/104658/front-end-developer-crate-and-barrel,30
105351,2016-07-25,"Scrum Masters are responsible for ensuring Scrum is understood and enacted by adhering to Scrum theory,…",TeleTracking Technologies,"Pittsburgh, PA",,"[scrum, agile]",Scrum Master,/jobs/105351/scrum-master-teletracking-technologies,30
119356,2016-07-25,"Join an Innovative Nonprofit that is changing the Nonprofit Sector!
GuideStar is the largest source of…","GuideStar USA, Inc.","Williamsburg, VA",,[],Software Engineer,/jobs/119356/software-engineer-guidestar-usa-inc,30
114623,2016-07-25,"We are looking for developers who enjoy solving problems, find coding fun, like being part of an agile…",MPD Group,"Manchester, UK",,[c#],Full stack web developer (C#). Must enjoy challenges.,/jobs/114623/full-stack-web-developer-c-sharp-must-enjoy-mpd-group,30
117082,2016-07-25,Do you live and breathe code?  Are you looking for a way to fund your MMO and RedBull habits?  Want to…,Inscape,"East Gwillimbury, ON, Canada",,[],Programmer Analyst,/jobs/117082/programmer-analyst-inscape,30
117081,2016-07-25,GlobalSubmit is looking to the future! Our mission is to become the top regulatory affairs provider for…,GlobalSubmit,"Philadelphia, PA",,"[sql, sql-server, c#, vb.net, oracle]","Test Analyst with a Small, Collaborative Team",/jobs/117081/test-analyst-with-a-small-collaborative-team-globalsubmit,30
117079,2016-07-25,At ECOATM/ OUTERWALL We are currently looking for an experienced and talented web services and middle…,Outerwall / ECOATM,"San Diego, CA","$95,000 - 107,000

                                / 
Provides Equity","[html, javascript, visual-studio-2013, .net, mysql]",Software Development Engineer,/jobs/117079/software-development-engineer-outerwall-ecoatm,30
103906,2016-07-25,Swimlane is looking for a Senior Python Software Engineer to join our core team to develop our open…,Swimlane,"Broomfield, CO",,"[python, node.js, c#, nosql, celery]",Sr Python Engineer,/jobs/103906/sr-python-engineer-swimlane,30
85373,2016-07-25,"This new team member will be part of a DevOps team responsible for setup, deployment, monitoring,…","Envision Technology Partners, Inc.","Greenwood Village, CO",,"[.net, c#, sql-server, azure, web-services, sysadmin]",DevOps Engineer,/jobs/85373/devops-engineer-envision-technology-partners,30
121575,2016-07-25,Are you looking for a career with a company to help give back to the community?  Does a career helping…,Redflex Traffic Systems,"Glendale, AZ",,"[software-development, complex-applications-deve, project-managment, q-a-testing-and-automatio]",Director of Software Development,/jobs/121575/director-of-software-development-redflex-traffic-systems,30
90414,2016-07-25,GRT is carefully searching for a number of new candidates for a high profile engagement across both…,"Grassroots Technologies, Inc.","New York, NY",,"[system, build, devops, linux, chef]",DevOps Developer/Engineer,/jobs/90414/devops-developer-engineer-grassroots-technologies-inc,30
107474,2016-07-25,We are looking for a Java Developer to join our Android Client Team. If you have genuine enthusiasm for…,Funambol Inc.,"Pavia, Italy",,"[android, java, mobile, tdd]",Agile Android Developer,/jobs/107474/agile-android-developer-funambol-inc,30
109898,2016-07-25,"For our headquarter in Kaiserslautern and for our external offices in Hamburg, Berlin, Cologne,…",SAITOW AG,"Berlin, Deutschland",,"[php, symfony2, phpunit, soa, relational-database]",PHP Senior Webdeveloper Research & Development (M/F),/jobs/109898/php-senior-webdeveloper-research-development-m-saitow-ag,30
119355,2016-07-25,We have Senior & Lead Ruby Developer positions - 3 new projects launching from scratch!  (we use Ruby on…,Simply Business,"London, UK","£55,000 - 70,000",[ruby-on-rails],Senior Developers - Winner of 'Best Company to Work for' 2016 + 3 NEW PROJECTS!,/jobs/119355/senior-developers-winner-of-best-company-to-simply-business,30
121565,2016-07-25,The Consolidated Court Automation Programs (CCAP) is seeking qualified candidates for a full-time…,Wisconsin Court System,"Madison, WI",,[],Customer Support Technician,/jobs/121565/customer-support-technician-wisconsin-court-system,30
121096,2016-07-25,Req ID: 142362      Ericsson Overview        Ericsson is a world-leading provider of telecommunications…,Ericsson,"Dublin, Ireland",,"[javascript, mobile, c#]",Senior Software Engineer (Minimum 10 years relevant experience) - MediaFirst,/jobs/121096/senior-software-engineer-minimum-10-years-ericsson,30
121094,2016-07-25,Req ID: 142250      BUSS (Business Unit Support Solutions)            Scrum master - MediaFirst         …,Ericsson,"Dublin, Ireland",,"[background, mobile, deployment]",Scrum Master - MediaFirst,/jobs/121094/scrum-master-mediafirst-ericsson,30
121093,2016-07-25,Req ID: 128980      BUSS (Business Unit Support Solutions)        Product Owner - MediaFirst           …,Ericsson,"Dublin, Ireland",,"[mobile, background, matrix]",Product Owner - MediaFirst,/jobs/121093/product-owner-mediafirst-ericsson,30
121552,2016-07-25,This position has the responsibility and authority to provide technical expertise on a broad range of…,Medtronic - Advanced Energy,"Portsmouth, NH",,"[c++, embedded, unit-testing, scaffolding]",Senior Software Engineer,/jobs/121552/senior-software-engineer-medtronic-advanced-energy,30
117065,2016-07-25,You will develop cutting-edge video delivery technology deployed in international telecommunication…,castLabs GmbH,"Berlin, Germany",,"[c++, mpeg-dash, video-streaming, drm, android]",Software Engineer C++,/jobs/117065/software-engineer-c-plus-plus-castlabs-gmbh,30
121238,2016-07-25,"What do Outback Steakhouse, Pep Boys, and the Major League Baseball Network all have in common? They are…",Ultimate Software,"Fort Lauderdale, FL",,"[java, c#, nosql, mongodb]",Java Software Engineer,/jobs/121238/java-software-engineer-ultimate-software,30
121549,2016-07-25,"Position Summary: 
Project Management:
Responsible for all aspects of Project Management for System…",Best Friends Animal Society,"Kanab, UT",,"[saas, office365, sharepoint, onedrive]",Project Manager/Systems Engineer,/jobs/121549/project-manager-systems-engineer-best-friends-animal-society,30
121550,2016-07-25,"Exact @Malaysia, Kuala LumpurAre you a software hero? Do you love the speed at which digital technology…",Exact,"Kuala Lumpur, Malaysia",,"[jquery, c#, vb.net, javascript]",Software Engineer/ Developer .Net,/jobs/121550/software-engineer-developer-net-exact,30
121548,2016-07-25,"Exact @Malaysia, Kuala LumpurAre you a software hero? Do you love the speed at which digital technology…",Exact,"Kuala Lumpur, Malaysia",,"[c++, computer-science, wtl, com, vb.net]",Exact,/jobs/121548/exact-exact,30
117056,2016-07-25,"Position: Senior / Principal Data Scientist 
Job Location: Bangalore
Contact email:…",Microsoft India (R&D),"Bengaluru, India",,"[machine-learning, data-analysis, data-science]",Senior / Principal Data Scientist,/jobs/117056/senior-principal-data-scientist-microsoft-india-r-d,30
117053,2016-07-25,"Applied Scientist 
Job Loc: Hyderabad
Division: Bing,Hyderabad
Contact email:…",Microsoft India (R&D),"Hyderabad, India",,"[machine-learning, data-mining, information-retrieval, image-processing, speech-recognition]",Machine Learning Applied Scientist,/jobs/117053/machine-learning-applied-scientist-microsoft-india-r-d,30
121547,2016-07-25,"As a Senior Desktop Support Specialist at SmashFly, What you’ll be contributing to:

At SmashFly, we…",SmashFly Technologies,"Concord, MA",,"[3rdleveldesktopsupport, handsontechnicalassistanc, configures, imagesandtestscomputers, performstroubleshooting]",Senior Desktop Support Specialist,/jobs/121547/senior-desktop-support-specialist-smashfly-technologies,30
121546,2016-07-25,"Due to expansion, an exciting opportunity has arisen for .Net MVC Web Developers with Database skills to…",BI WORLDWIDE EMEA,"Newport Pagnell, UK",,"[asp.net, c#, sql, tsql, asp.net-web-api]",.Net MVC Web Developer - Part Remote,/jobs/121546/net-mvc-web-developer-part-remote-bi-worldwide-emea,30
117051,2016-07-25,MSO Digital GmbH & Co. KG agiert als ein junges und dynamisches Unternehmen im Bereich des…,MSO Digital GmbH & Co. KG,"Osnabrück, Deutschland",,"[php, javascript, angularjs, bigdata, architecture]",Head of Technology,/jobs/117051/head-of-technology-mso-digital-gmbh-co-kg,30
116565,2016-07-25,Faimdata is looking to attract engineers that are comfortable identifying and making contrarian…,Faimdata,"Montréal, QC, Canada","$125,000 - 250,000

                                / 
Provides Equity","[java, python, scala, apache-spark, nlp]",Spark Java or Python Developer - Machine Learning Expert,/jobs/116565/spark-java-or-python-developer-machine-learning-faimdata,30
111683,2016-07-25,"Position Overview
InvestCloud is looking for a bright and talented developer for our growing Cloud…",InvestCloud,"Los Angeles, CA","$80,000 - 100,000","[java-ee, java, relational-database, java-persistence-api]",Cloud Software Developer,/jobs/111683/cloud-software-developer-investcloud,30
121603,2016-07-25,"Geomagical Labs is an early-stage technology startup in the SF Bay Area, applying novel computer vision…",Geomagical Labs,"Mountain View, CA",,"[imu, robotics, vision, sfm, slam]",Mobile SLAM Platform R&D,/jobs/121603/mobile-slam-platform-r-d-geomagical-labs,30
107520,2016-07-25,"Come join our effort to provide The Perfect Trip and Effortless Expense Reporting!
What’s in it for…",Concur,"Bellevue, WA",,"[java, restful-architecture, frameworks]",Software Design Engineer in Test,/jobs/107520/software-design-engineer-in-test-concur,30
117091,2016-07-25,"As a Backend Software Engineer,  you will collaborate with product managers,data scientists, and the…",Restless Bandit,"San Francisco, CA","$120,000 - 175,000

                                / 
Provides Equity","[python, go, c, c++, java]",Backend Software Engineer,/jobs/117091/backend-software-engineer-restless-bandit,30
121602,2016-07-25,Google's software engineers develop the next-generation technologies that change how billions of users…,Google,"San Bruno, CA",,"[virtual, 3d, opengl, java, c++]","Software Engineer, Virtual Reality, YouTube",/jobs/121602/software-engineer-virtual-reality-youtube-google,30
121598,2016-07-25,"Job brief 
We are looking for an iOS Developer who possesses a passion for pushing mobile technologies…",Aspiration,"Marina del Rey, CA","$120,000 - 150,000

                                / 
Provides Equity","[ios, objective-c, swift, oauth]",iOS Developer,/jobs/121598/ios-developer-aspiration,30
121597,2016-07-25,"Job Description
Work closely with our product and design team to deliver high quality and robust…",Aspiration,"Marina del Rey, CA","$130,000 - 160,000

                                / 
Provides Equity","[java, postgresql, scala, angularjs, javascript]",Fullstack Developer,/jobs/121597/fullstack-developer-aspiration,30
117090,2016-07-25,"Alluvium is currently seeking Software Engineers to join our team, and work directly with our world…",Alluvium,"Brooklyn, NY",Provides Equity,"[scala, java, deployment, build, architecture]",Software engineer for streaming data system,/jobs/117090/software-engineer-for-streaming-data-system-alluvium,30
96577,2016-07-25,*** If you happen to be an expert in iOS or Android camera functionality and image manipulation (drawing…,CompanyCam,"Lincoln, NE","$60,000 - 75,000

                                / 
Provides Equity","[android, react-native, ruby-on-rails, mobile, javascript]",Android // React Native - Mobile Dev,/jobs/96577/android-react-native-mobile-dev-companycam,30
121395,2016-07-25,We have an exciting opportunity for a creative and skilled individual to take the next step their…,Fisher & Paykel Healthcare - New Zealand,"Auckland, New Zealand",,"[html5, css3, javascript, asp.net-mvc, c#]",Solutions Developer,/jobs/121395/solutions-developer-fisher-paykel-healthcare,30
121593,2016-07-25,"If you are the type of person who likes to orchestrate APIs together to get work done, this is the team…","Rackspace, the #1 managed cloud company","San Antonio, TX",,"[java, rest, api, distributed-computing, linux]",Software Developer IV - Java,/jobs/121593/software-developer-iv-java-rackspace-the-sharp1-managed,30
121587,2016-07-25,"Responsible for designing, developing, troubleshooting, or debugging software programs. Develops…",Synopsys,"Mountain View, CA",,"[c, c++, cad]",R&D Engineer,/jobs/121587/r-d-engineer-synopsys,30
109953,2016-07-25,"Big Data DevOps Engineer
Honeywell is transforming from a traditional industrial company to a…",Honeywell,"Morris Plains, NJ",,"[bigdata, hadoop, cloud, linux]",Big Data Dev Ops Engineer,/jobs/109953/big-data-dev-ops-engineer-honeywell,30
121592,2016-07-25,Autodesk is looking fortalentedSecurity Engineers to join our CloudInfrastructureteam!  As a global…,Autodesk,"San Francisco, CA",,"[wsus, active-directory, ldap]",Windows Security Engineer,/jobs/121592/windows-security-engineer-autodesk,30
121591,2016-07-25,"
Evaluate and recommend systems software and hardware for the enterprise system including capacity…",Marin Software,"San Francisco, CA",Provides Equity,"[vmware, docker, ansible, puppet, linux, sysadmin]",Senior Site Reliability Engineer,/jobs/121591/senior-site-reliability-engineer-marin-software,30
121590,2016-07-25,Administers technical security controls to prevent hackers or unauthorized individuals from infiltrating…,Synopsys,"Mountain View, CA",,[],IT Security Specialist,/jobs/121590/it-security-specialist-synopsys,30
121588,2016-07-25,"The Sr. Staff R&D Engineer will be responsible for designing, developing, troubleshooting, or debugging…",Synopsys,"Mountain View, CA",,[c++],"R&D Engineer, Sr. Staff",/jobs/121588/r-d-engineer-sr-staff-synopsys,30
121586,2016-07-25,"HAPS is Synopsys' industry leading FPGA-based prototyping system, providing state of the art hardware…",Synopsys,"Mountain View, CA",,"[c, c++, asic, fpga]",Senior R&D Engineer,/jobs/121586/senior-r-d-engineer-synopsys,30
121585,2016-07-25,"There is this magical recent invention called the ""video game."" It's really fun. Kids spend hours…",Agora Ventures,"Washington, DC","$100,000 - 160,000

                                / 
Provides Equity",[],Lead Full Stack Developer,/jobs/121585/lead-full-stack-developer-agora-ventures,30
90932,2016-07-25,"INTERESTED CANDIDATES MUST BE A U.S. CITIZEN, AND ELIGIBLE TO QUALIFY FOR A SECURITY…","Soar Technology, Inc.","Ann Arbor, MI","$65,000 - 100,000","[robotics, cyber, machine-learning, nlp, artificial-intelligence]","Software, AI, or Cybersecurity Engineer",/jobs/90932/software-ai-or-cybersecurity-engineer-soar-technology-inc,30
96066,2016-07-25,"Vollblut-Entwickler/ Softwarearchitekt gesucht!

Design und Entwicklung maßgeschneiderter CRM…",Infoman AG,"Stuttgart, Deutschland",,"[.net, asp.net, html, css, javascript]",Software Architect .NET,/jobs/96066/software-architect-net-infoman-ag,30
40753,2016-07-25,"Engineers needed to help lead the medical software revolution!
The medical software industry is…",pMD,"San Francisco, CA",,"[java, javascript, backbone.js, mysql, objective-c]",Senior Software Design Engineer,/jobs/40753/senior-software-design-engineer-pmd,30
121584,2016-07-25,We are a team of like-minded individuals who strive in creating positive outcome in all endeavors. We…,Swishlinks LLC,"Chicago, IL",,"[c#, sql-server, mvc, azure-mobile-services]",Senior Back-end Mobile Developer,/jobs/121584/senior-back-end-mobile-developer-swishlinks-llc,30
108229,2016-07-25,"Senior Developer for New Orleans Auction/Collections Site

Job Description

We are growing fast and…",CivicSource,"New Orleans, LA",,"[c#, .net, sql, json, api]",Senior Software Developer for New Orleans Auction/Collections Site,/jobs/108229/senior-software-developer-for-new-orleans-auction-civicsource,30
121604,2016-07-25,The GCSB has exciting opportunities for both Systems Engineering roles and Application Engineering roles…,Government Communications Security Bureau,"Wellington, New Zealand","$65,000 - 95,000","[cisco, puppet, linux, java, c]",Systems and Applications Engineers,/jobs/121604/systems-and-applications-engineers-government-communications,30
121830,2016-07-28,Gemeinsam mit unserem Team sind Sie für die Neuentwicklung einer innovativen Web-Applikation zuständig.…,HC Solutions GesmbH,"Linz, Österreich","€40,000 - 50,000","[html5, javascript, css3, angularjs, jquery]",Webdeveloper (m/w),/jobs/121830/webdeveloper-m-w-hc-solutions-gesmbh,30
119258,2016-07-28,"BigCommerce, is looking for a Senior Systems Engineer to join our downtown Austin office. You will be…",BigCommerce,"Austin, TX",,"[linux, nginx, redis, terraform, puppet]","Senior Systems Engineer (Linux, Nginx, Redis, Terraform, Puppet)",/jobs/119258/senior-systems-engineer-linux-nginx-redis-bigcommerce,30
121832,2016-07-28,"
Implementation of high performance biometric algorithms
Implementation of authentication and security…","EyeVerify, Inc.","Kansas City, MO",,"[c++, java, ios, swift, android]",Biometric C++ Software Engineer,/jobs/121832/biometric-c-plus-plus-software-engineer-eyeverify-inc,30
